timestamp,transaction_count,unique_wallets,total_volume_usd,sample_wallets
2025-11-22 12:50:00+00:00,27,28,4716.484800395128,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf', 'BnZdggJWGLtTX2XH1LaPZRB85vUKMLfU1J5LKjGHhdJ', 'AHsgV3z9Dp3BgRn98Qz4NQSTd8yDMNSjgbC1DsUGetwF', '8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo']"
2025-11-22 16:00:00+00:00,27,24,458.53366035285904,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'J5y1Y4gKSbVfsjysPQrnizCrpqNkubx8tpjHeaCGZanE', 'HFWD7yx8JG6dLD49up2Pjumubgp8ZTmrT2bn867Yo9ub', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR']"
2025-11-22 13:30:00+00:00,27,29,2383.5277707355663,"['Gkg3L8K8nYCfcpnoTxya5MgQgLEJvSQtuzEiTpPd1dj7', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7VuFrPc4X4FzBygx8k32MHVqE3WvF5vz5m3U45ii3eyq', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf', 'J3CULBxEzEMEvaHLC5uSZERgZKqXN93wAMTdYMxuDcia']"
2025-11-22 16:50:00+00:00,26,20,4241.045281105796,"['13xo4m3HvZrUUjFXHvtFuKQH7AZ4sBCHjtHU1yJPnthP', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'Ca6qHdABtRNkD9vKLVDq98TfrAx74B2oYQJTBUfKoaGU', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', 'BmuZwqRsvCtgYKThaoHjTgnD36NogzRhFPUM1zdWwuNK']"
2025-11-22 15:35:00+00:00,24,20,7052.226359828841,"['3wqxMfwBGVoTqFetT7AFa4CrAxsut7yUi4fdyoqD2Qz1', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', '7VuFrPc4X4FzBygx8k32MHVqE3WvF5vz5m3U45ii3eyq']"
2025-11-22 16:55:00+00:00,24,19,4339.0876605552185,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '2ZBPAgLJw7f37jt537gvYtRDGjrCswdA1gmqRuzMa6cL', 'CzWEMQ4F7uVc7WeKdYkdNjknafeWKqeKeFYEpmTopui9', '2B6ZieFdUQBH6CBZyC7r9hZN6w2iz8QTR8rNZHsaKGeC', 'C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm']"
2025-11-22 16:30:00+00:00,24,22,7991.855192491716,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'BckSupmAdrcQczyohr4jXjUBYfJ2ppPf2DTJQxibcCKS', 'C2L6DdAtVQNcDw3KKGoyWTV3AfuYdUfPKZn21EEhKMkm', 'AHsgV3z9Dp3BgRn98Qz4NQSTd8yDMNSjgbC1DsUGetwF', 'CWdP1wPfqkvhe9pxk1Lht4GS3AXpYrioxoPxLTV9PLT1']"
2025-11-22 14:55:00+00:00,23,22,7290.525108785766,"['8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', '2Ap3yC1D5vw7sgrhmUZ1W1Jd99PZNVA8Dbqmw4u593Mq', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '586F7ay2f8cmrasX2BS71gAEwkC88qdQvpki5jftgBUm', 'EhiDCKZDwqJWp56CbGBwKi1MA6sh9szytjVbNL82PMzQ']"
2025-11-22 14:30:00+00:00,23,22,6973.778146024805,"['3wqxMfwBGVoTqFetT7AFa4CrAxsut7yUi4fdyoqD2Qz1', '8gUo3CWLssxqfP5bBB4avaX3vwPnMHC7dLbEf3DhPyQ9', 'EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', 'Ca6qHdABtRNkD9vKLVDq98TfrAx74B2oYQJTBUfKoaGU', 'FY2jvFWKAXLnDKivtnaCLVUC1z3C2iuv9TRVnRjGubvX']"
2025-11-22 15:25:00+00:00,22,21,6598.281059748203,"['EZwPn7Ku9ARNwiF8tnjDfwdCPLuHMYwYTn7Q5iK3MUaV', '7G3WCkD7Mj4n5PJeDU8AchNR2g8EFzSemyYzKY1oAEKx', 'Fdo47EPoxbFY8xCRVU7VTKWCdhTsXGt91qtKSVX7y1SR', '2N1NmW23ydp8hCEF8RucNjBWVfoxCFqAoBhxgfdupE1C', '5iWf1AWMLa3to2TLrcK2ph9Fnf5SVZVTy7dDwVBDXDob']"
