transaction_hash,start_wallet,end_wallet,start_entity_type,end_entity_type,timestamp,block_number,usd_value,token_symbol,token_address,chain,hop_count,is_self_transfer
26NeQk9CsFoXdhQML2u3au1cpc45BabaorgxxYoWboS7xAH25F6aNV1nPxgsPE7jAx9jXJK4GaLvZ7W4s1VAmyYw,G4DMDwkoSJ7N8gMrGhT4Y1koznrhjE7PV1GAd6mJUkBf,G4DMDwkoSJ7N8gMrGhT4Y1koznrhjE7PV1GAd6mJUkBf,,,2025-11-22 13:45:05+00:00,381774939,0.5342388501208,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,3,True
26TKeDTFuXjyg6khqD9NZjV2UwPj4Ee3kAHsuMMDTBnS33YmmmUQyekhwEeKVpM7RFB6B3DuUbZJy4BzXkxXnWqE,Hi8vEqvLCtc7E4RPmZZF4CSM5RqmnmfgTVtVmAeaw7Qk,98M3bCEfRywN3cfhsySJcv6vBqX78HHBRxxUfprVckEc,fund,,2025-11-21 21:41:36+00:00,381628668,9.941736036071699,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
26UZMUA2rZ62R3bzUYovHHMUkCCgzxP6BVCx84e9T6iqeQMEAQtbQGGfaZv7x8JPKB5RVabCA6xov5AWZZJvz67S,HDYz5o7RypCFypiJhZcxooP77Wz8JGqwvRgPYybFT9h5,Ftjk2QoiqhVkuxJR9yy6p4AfzMFXShyd27HteNprLXvu,,,2025-11-21 18:19:46+00:00,381597995,5086.765246159999,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,1,False
26reqN25dafmJXqLfdXus9k5v6cd3FLDYC3vWuzWuLc6Mf3CJ5We2Qw36dV5Ldsny2dd77cq4U6pSkSVWaD3ZRhr,9bswHWE9TyKJzdaV1VexPbhbfmejQ3sZMHLLJE3ro8q4,9bswHWE9TyKJzdaV1VexPbhbfmejQ3sZMHLLJE3ro8q4,dex-aggregator,dex-aggregator,2025-11-22 00:19:51+00:00,381652663,99.9073026570496,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
26zWqjjXHY8riX12fWXQxo2akjbNCXsdowvNMz62BAA41YeoBxVHbxjx48sHX9hGdQwoK9FFdMNsRm4dwpqxq68F,qhA4wAQHxsSRcLMzUK1wFFPGfRRYkZX75fcnHNmqZeN,EWUW6WYFHqJGgR1H6PbCzZmh3b4U79MBEQKYZPx1SnJw,,,2025-11-21 20:21:39+00:00,381616515,24.893333330843998,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,False
27BoDrMGagqqLScRZWRG3tAk2uA5vBVwdfY5djvnVsoAY2nZnNQ8MJeESk15txMkqo9Gkwx6jE52y1ByFNnpsJ3N,GxLT9onLLJ7NV5P1wgZmkqCqqz1kq9S6P54F6PVrG4jP,GxLT9onLLJ7NV5P1wgZmkqCqqz1kq9S6P54F6PVrG4jP,dex-aggregator,dex-aggregator,2025-11-21 08:01:26+00:00,381504457,0.07173803556240001,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
27FczumyxQ9DH1vLHuGWPupG4weDP7i7jyCNurXc3AV1hkE6i7ptXLGC4EYaM92VLucDMhdFXwiSEsWp1RYCzxUr,G4DMDwkoSJ7N8gMrGhT4Y1koznrhjE7PV1GAd6mJUkBf,G4DMDwkoSJ7N8gMrGhT4Y1koznrhjE7PV1GAd6mJUkBf,,,2025-11-21 09:33:13+00:00,381518331,0.3464527077622,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
27LiD8eBT6BrHgfuvkPDGfonGeYXkEfLXFSN1oM4yQHyVNCx9PBapZQ64yy35nTGmisvXaZpGqpQhjBGRALouU1N,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,,,2025-11-21 19:19:41+00:00,381607087,0.7151224977968,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
27M2fuwmL52TRLq3HMcD4kem4YMCpZgdkEcQybqDQNcNGxoymMVWMhK21rooY1diQx6dRzcXGjJxX97jb3rKyiUc,5BuRuj2kLZyGWA1EG9vEGhckNt7UZgE8Ujvhph2MrHSv,5BuRuj2kLZyGWA1EG9vEGhckNt7UZgE8Ujvhph2MrHSv,dex-aggregator,dex-aggregator,2025-11-22 05:16:40+00:00,381697765,15.489342747962,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
28M1ktoWi5vjGtzFD2pazMs2NeA4KFdTRX4hKv2Dyyr6p1DP4XivJ8bqiokHmTSjU9W8uGMaiMpm1vzeAVFyyovE,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,,,2025-11-20 18:15:52+00:00,381379494,0.6615937859192,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
28aa2hKTjqE8NrbYL5f11pNKsLC2ZUGPrEriv2QDGHfp8A2eMxEG2jxnSHCzX4sdpbWJKGuLkgB37i4S6U77KS2a,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,,,2025-11-21 09:22:16+00:00,381516672,0.0301937178198,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,solana,2,True
